우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|7|0|1168010300102310022020522|||1168010300|개포동||개포4동|0|1231|01|22||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|11|0|1168010300102310020026836|||1168010300|개포동||개포4동|0|1231|01|20||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|24|5|1168010300102300003020682|||1168010300|개포동||개포4동|0|1230|01|3||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|58|0|1168010300101990010020828|||1168010300|개포동||개포4동|0|1199|01|10||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|14|0|1168010300102320001020570|||1168010300|개포동||개포4동|0|1232|01|1||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|32|0|1168010300102210000020697|||1168010300|개포동||개포4동|0|1221|01|0||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|37|0|1168010300102190010020728|||1168010300|개포동||개포4동|0|1219|01|10||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|19|0|1168010300102310016020598|||1168010300|개포동||개포4동|0|1231|01|16||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|32|0|1168010300101670008019558|||1168010300|개포동||개포2동|0|167|02|3||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|6|0|1168010300101690000021186|||1168010300|개포동||개포4동|0|1169|01|0||
06329|서울특별시|Seoul|강남구|Gangnam-gu|||116803122005|삼성로|Samseong-ro|0|40|0|1168010300101860000019916|||1168010300|개포동||개포2동|0|186|01|0||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166056|개포로24길|Gaepo-ro 24-gil|0|18|0|1168010300102180005021237|||1168010300|개포동||개포4동|0|1218|01|5||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166056|개포로24길|Gaepo-ro 24-gil|0|27|0|1168010300102050006021244|||1168010300|개포동||개포4동|0|1205|01|6||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166057|개포로25길|Gaepo-ro 25-gil|0|27|0|1168010300102520002020217|||1168010300|개포동||개포4동|0|1252|01|0||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166058|개포로26길|Gaepo-ro 26-gil|0|6|0|1168010300102160000021305|||1168010300|개포동||개포4동|0|1216|01|0||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166061|개포로31길|Gaepo-ro 31-gil|0|20|0|1168010300102620000020275|||1168010300|개포동||개포4동|0|1262|01|0||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|9|0|1168010300112370000000001|||1168010300|개포동||개포4동|0|1237|01|0||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|30|4|1168010300111740002000001|||1168010300|개포동||개포4동|0|1174|01|2||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166490|선릉로6길|Seolleung-ro 6-gil|0|18|0|1168010300101580006019534|||1168010300|개포동||개포2동|0|158|01|6||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|18|0|1168010300102080002021296|||1168010300|개포동||개포4동|0|1208|01|2||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|9|0|1168010300102090017021288|||1168010300|개포동||개포4동|0|1209|01|17||
